OBJECTID,ZONE,VALUE,DATASET,Shape__Area,Shape__Length
256,Outer,3,London Doughnut,1340122772.24886,325384.949062606
257,Outer,3,London Doughnut,1340122772.24886,325384.949062606
258,Outer,3,London Doughnut,1340122772.24886,325384.949062606
259,Outer,3,London Doughnut,1340122772.24886,325384.949062606
260,Outer,3,London Doughnut,1340122772.24886,325384.949062606
261,Inner,2,London Doughnut,224122181.756927,92835.2439789017
262,Inner,2,London Doughnut,224122181.756927,92835.2439789017
263,Inner,2,London Doughnut,224122181.756927,92835.2439789017
264,Inner,2,London Doughnut,224122181.756927,92835.2439789017
265,Inner,2,London Doughnut,224122181.756927,92835.2439789017
266,Central,1,London Doughnut,30474046.5812836,23619.776840701
267,Central,1,London Doughnut,30474046.5812836,23619.776840701
268,Central,1,London Doughnut,30474046.5812836,23619.776840701
269,Central,1,London Doughnut,30474046.5812836,23619.776840701
270,Central,1,London Doughnut,30474046.5812836,23619.776840701
271,Central,1,London Doughnut,30474046.5812836,23619.776840701
272,Central,1,London Doughnut,30474046.5812836,23619.776840701
273,Central,1,London Doughnut,30474046.5812836,23619.776840701
274,Central,1,London Doughnut,30474046.5812836,23619.776840701
275,Central,1,London Doughnut,30474046.5812836,23619.776840701
276,Central,1,London Doughnut,30474046.5812836,23619.776840701
277,Central,1,London Doughnut,30474046.5812836,23619.776840701
278,Central,1,London Doughnut,30474046.5812836,23619.776840701
279,Central,1,London Doughnut,30474046.5812836,23619.776840701
280,Central,1,London Doughnut,30474046.5812836,23619.776840701
281,Central,1,London Doughnut,30474046.5812836,23619.776840701
282,Central,1,London Doughnut,30474046.5812836,23619.776840701
283,Central,1,London Doughnut,30474046.5812836,23619.776840701
284,Central,1,London Doughnut,30474046.5812836,23619.776840701
285,Central,1,London Doughnut,30474046.5812836,23619.776840701
286,Central,1,London Doughnut,30474046.5812836,23619.776840701
287,Central,1,London Doughnut,30474046.5812836,23619.776840701
288,Central,1,London Doughnut,30474046.5812836,23619.776840701
289,Central,1,London Doughnut,30474046.5812836,23619.776840701
290,Central,1,London Doughnut,30474046.5812836,23619.776840701
291,Central,1,London Doughnut,30474046.5812836,23619.776840701
292,Central,1,London Doughnut,30474046.5812988,23619.7768406983
293,Inner,2,London Doughnut,224122181.756874,92835.2439789052
294,Outer,3,London Doughnut,1340122772.24845,325384.949062613
