X,Y,OBJECTID,SHELTER_CODE,STATUS,OS_EASTING,OS_NORTHING,CREATED_ON,STOP_STOP_ID,COUNTDOWN_SIGN,ROAD_NAME,DIRECTION,LOCALITY,TOWN,FEATURE_LOCATION,SMS_CODE,ELECTRICITY_BOARD,POST_OWNER,SHELTER_OWNER,POSTCODE,LAST_CLEANED,UPDATED_ON
519638.000000102,169839.999999518,67720,0121/1832,A,519638,169840,,8573,,PRIVATE ROAD IN KINGSTON HOSPITAL GROUNDS,E/B,,,IN EXIT RD FROM HOSPITAL & OPP BADMINGTON COURT.,71618,UKPN London Hub,Transport for London,Transport for London,KT2 7BP,2024/01/30 01:29:46+00,20210817042150
507096.000000222,182869.999999657,67721,0117/9397,A,507096,182870,,2026,,UXBRIDGE ROAD,W/B,,Uxbridge,51.3 MTRS W OF HARLINGTON ROAD.40.1 MTRS EAST OF &OPP GLENTHORNE CLOSE (UB8),52045,Southern Electric,Transport for London,Transport for London,UB10 0LF,2024/01/12 03:04:06+00,20220623143555
507566.000000168,182588.999999621,67722,0117/F0052,A,507566,182589,,9746,,UXBRIDGE ROAD,,,,,,,,,,,20210817042515
520730.000000102,168300.999999562,67723,0121/5538,A,520730,168301,,5841,,KINGSTON ROAD,E/B,,NEW MALDEN,"O/S 141/141A. STRATFORD COURT K/L, 36.9 M E OF. GRAYHAM ROAD, 17.3 M W OF & OPP.",47261,UKPN London Hub,Transport for London,Transport for London,KT33JD,2024/01/19 01:39:19+00,20210817042433
535783.00000017,170262.999999482,67724,0106/0216,A,535783,170263,,15839,,GREEN LANE,W/B,,PENGE,W OF PARISH LANE,76603,UKPN London Hub,Transport for London,Transport for London,SE207JQ,2024/01/11 01:06:10+00,20210817042006
543750.000000207,178788.999999325,67725,0111/1066,A,543750,178789,,19581,,VINCENT ROAD,E/B,,WOOLWICH,"WOOLWICH NEW ROAD, 37 M E OF. 57 M W OF & OPP HELEN STREET. O/S FLANK WALL OF WOOLWICH ARSENAL STATION.",73034,UKPN London Hub,Transport for London,Transport for London,SE18  6RF,2024/01/22 01:35:38+00,20210817043039
527555.000000176,192014.99999951,67726,0103/F0230,A,527555,192015,,10472,,WOODHOUSE ROAD,,,,,,,,,,,20210817043027
522976.000000097,169307.999999527,67727,0124/0211,A,522976,169308,,4379,,COOMBE LANE,W/B,SW20,RAYNES PARK,"DURHAM ROAD, 34.1 M W OF & OPP C/L 97.2 M E OF C/L WEST BARNES LANE O/S No.23-27 ""WAITROSE""",53589,UKPN London Hub,Transport for London,Transport for London,SW20 0AY,2024/01/28 21:53:54+00,20210817043127
518008.00000004,175117.99999958,67728,0127/0231,A,518008,175118,,4938,,THE QUADRANT,N/B,Richmond,,"O/S 25. QUADRANT ROAD, 47M N OF. OPP C/L DRUMMONDS PLACE (NCP CAR PARK ENTRANCE).",58072,Southern Electric,Transport for London,Transport for London,TW9 IEA,2024/02/15 00:48:17+00,20210817043059
534557.000000222,174932.999999529,67729,0128/5297,A,534557,174933,,8993,,PECKHAM RYE,S/B,SOUTHWARK,Bellenden,"O/S PARKLAND, 136M S OF  &  OPP BARRY ROAD",49126,NO BOARD,Transport for London,Transport for London,SE22 0JA,2024/02/14 22:22:51+00,20210817042620
545047.000000103,166298.99999914,67730,0106/1098,A,545047,166299,,14004,,ALLINGTON ROAD,N/B,,ORPINGTON,"ANDOVER ROAD (N ARM), 28 M S OF.  8 M N OF 99;  O/S 81 ANDOVER RD",52749,UKPN London Hub,Transport for London,Transport for London,BR6  8BL,2024/02/15 03:01:03+00,20210817042918
531730.000000154,181433.999999491,67731,0101/0102,A,531730,181434,,17022,,HOLBORN VIADUCT,W/B,,"London, City of",O/S 2 FLEET PLACE (FLEET PLACE HOUSE). 73 M W OF OLD BAILEY.,47844,UKPN London Hub,Transport for London,Transport for London,EC1A 2AE,2024/01/31 04:42:47+00,20210817043154
523968.000000092,170017.999999531,67732,0124/1005,A,523968,170018,,15549,,WORPLE ROAD,E/B,SW20,RAYNES PARK,O/S 85-87 HAVERLEY COURT 29M E  OF WORPLE AVENUE,57443,UKPN London Hub,Transport for London,Transport for London,SW194JG,2024/02/01 23:01:45+00,20210817042526
537950.000000245,168604.999999178,67733,0106/1256,A,537950,168605,,12367,,WICKHAM ROAD,N/B,,BECKENHAM,"O/S 92/94. STONE PARK AVENUE, 62M N OF.",71096,UKPN London Hub,Transport for London,Transport for London,BR3 6QH,2024/02/14 02:16:19+00,20210817043149
530114.000000173,171102.999999552,67734,0122/0421,A,530114,171103,,19449,,STREATHAM HIGH ROAD,S/B,,,"O/S ALBERT CARR GARDENS ESTATE, N OF AND OPP. NATAL ROAD, S OF HOPTON ROAD",48459,UKPN London Hub,Transport for London,Transport for London,SW163HE,2023/03/01 03:54:51+00,20210817042008
529694.000000073,170400.999999462,67735,0122/4438,A,529694,170401,,8193,,STREATHAM VALE,N/B,,LAMBETH,STREATHAM COMMON B.R. STATION (SW16),76247,UKPN London Hub,Transport for London,Transport for London,SW16 5AA,2023/12/13 02:08:35+00,20210817042549
531905.000000189,186342.999999554,67736,0119/0063,A,531905,186343,,13497,,BLACKSTOCK ROAD,S/B,ISLINGTON,LONDON,"O/S 187-189, S OF MOUNTGROVE ROAD",50415,UKPN London Hub,Transport for London,Transport for London,N5  2LL,2024/02/06 02:05:09+00,20210817042445
529557.000000145,184656.999999509,67737,0107/F0051,A,529557,184657,,9132,,CAMDEN ROAD,,,,,,,,,,,20210817042201
517257.00000017,181552.999999487,67738,0109/0236,A,517257,181553,,17214,,CASTLEBAR ROAD,N/B,,Ealing,"OPP 76 (DOWNHURST RESIDENTIAL HOME) ADJ (S OF) 65, N OF A POINT OPP MONTPELIER AVENUE",54500,Southern Electric,Transport for London,Transport for London,W5  2DA,2024/01/29 23:08:10+00,20210817042145
537627.000000128,173608.999999374,67739,0123/F0172,A,537627,173609,,12359,,CATFORD ROAD,,,,,,,,,,,20220908101309
525063.000000034,177277.999999528,67740,0113/0068,A,525063,177278,,13746,,DAWES ROAD,E/B,,HAMMERSMITH AND FULHAM,"O/S 8,OPP 19/21, W OF NORTH END ROAD     (PT B)",77543,UKPN London Hub,Council,Transport for London,SW6 7EN,2024/01/24 06:22:10+00,20210817042340
524460.000000066,176008.999999572,67741,0113/7763,A,524460,176009,,18245,,NEW KINGS ROAD,E/B,,HAMMERSMITH AND FULHAM,"O/S 214 AND HURLINGHAM MANSION, E OF FULHAM HIGH STREET",71844,UKPN London Hub,Transport for London,Transport for London,SW6 3LA,2024/02/15 00:11:03+00,20210817042405
528363.000000119,195597.999999509,67742,0110/0030,A,528363,195598,,9444,,CHASE SIDE,N/B,,SOUTHGATE,S OF CAT HILL,77548,UKPN London Hub,Transport for London,Transport for London,N14 4HN,2024/02/13 01:35:55+00,20210817042958
551262.000000301,193111.999999125,67743,0116/1720,A,551262,193112,,16104,,NORTH ROAD,S/B,HAVERING-ATE-BOWER,ROMFORD,"OPP HAVERING GREEN, N OF ORANGE TREE HILL. O/S ST FRANCIS HOSPICE.",47907,UKPN London Hub,Transport for London,Transport for London,RM4 1PL,2024/02/14 05:45:22+00,20210817042417
509253.000000089,191413.999999585,67744,0117/1017,A,509253,191414,,15424,,STATION APPROACH,N/B,,Northwood,"S OF ENTRANCE TO ""UNDERGROUND"" STATION, 57M S OF GREEN LANE",76715,NO BOARD,Transport for London,Transport for London,HA6 2XN,2024/02/16 03:45:58+00,20210817042921
535482.000000228,175958.999999521,67745,0128/1385,A,535482,175959,,7253,,OAKDALE ROAD,S/B,SOUTHWARK,Barset,"GIBBON ROAD, 55M S OF",75174,UKPN London Hub,Transport for London,Transport for London,SE42EE,2024/01/01 23:01:09+00,20210817042621
529391.000000142,180648.999999512,67746,0133/1896,A,529391,180649,,10992,,REGENT STREET,S/B,WEST END,WESTMINSTER,"AIR STREET, 23.5M W OF; O/S 78 (PEREGRINE).",73476,UKPN London Hub,Transport for London,Transport for London,W1B 5RW,2024/01/25 03:09:48+00,20210817042730
535801.000000229,174969.999999515,67747,0128/5341,A,535801,174970,,18233,,MERTTINS ROAD,E/B,SOUTHWARK,Bellenden,"OPP 8. 25 M W OF ATHENLAY ROAD, 25 M W OF. AT IVYDALE ROAD",71948,UKPN London Hub,Transport for London,Transport for London,SE42LT,2024/01/01 23:46:13+00,20210817042620
526186.000000083,167527.99999951,67748,0124/5800,A,526186,167528,,10364,,ST HELIER AVENUE,S/B,SM4,MORDEN,O/S 193 N OF LEOMINSTER WALK,53604,UKPN London Hub,Transport for London,Transport for London,SM4 6HA,2024/02/01 03:00:28+00,20210817042609
546570.000000231,182081.999999305,67749,0102/1073,A,546570,182082,,51245,,MALLARDS ROAD,N/B,,,"70M N OF RIVER ROAD. MINTER ROAD, 281M S OF",92214,UKPN London Hub,Transport for London,Transport for London,IG11 0DS,2024/01/29 07:02:38+00,20210817043157
527121.000000131,181373.999999528,67750,0133/4984,A,527121,181374,,19524,,SUSSEX GARDENS,W/B,HYDE PARK,WESTMINSTER,"NORTHFOLK CRESCENT, 56.5M W OF; SOUTHWICK STREET, 73M E OF.",72773,UKPN London Hub,Transport for London,Transport for London,W2  1JQ,2023/12/26 23:33:15+00,20210817042810
507617.000000231,179373.999999612,67751,0117/1025,A,507617,179374,,22346,,STOCKLEY ROAD,S/B,,West Drayton,"STOCKLEY FARM ROAD, 116M S OF & OPP C/L; PROLOGIS PARK, 76M N OF K/L OF ENTRANCE",54627,Southern Electric,Transport for London,Transport for London,UB7 9BN,2024/01/31 23:14:08+00,20210817042947
540723.000000177,172229.999999385,67752,0123/7820,A,540723,172230,,1964,,CHINBROOK ROAD,E/B,Grove Park,Eltham,REAR OF 19-22 GARDEN CLOSE. E OF  &  OPP AMBLECOTE ROAD. W OF GARDEN CLOSE,75883,UKPN London Hub,Transport for London,Transport for London,SE12 9TG,2024/01/16 00:06:38+00,20210817042524
545453.000000208,184705.999999294,67753,0102/8341,A,545453,184706,,17750,,UPNEY LANE,N/B,,BARKING,O/S 98. OPP 87/89,77088,UKPN London Hub,Transport for London,Transport for London,IG11 9LR,2024/02/18 06:09:49+00,20210817041956
535923.000000226,186157.999999596,67754,0112/1123,A,535923,186158,,10249,,MILLFIELDS ROAD,E/B,,HACKNEY,OPP OSWALD STREET,77441,UKPN London Hub,Transport for London,Transport for London,E5 0AR,2023/12/11 23:17:47+00,20210817042946
515869.000000109,170859.999999538,67755,0127/1019,A,515869,170860,,7529,,PARK ROAD,N/B,Teddington,,"PARK LANE, 48.9M S OF; ADELAIDE ROAD, 28.8M N OF & OPP; O/S TEDDINGTON POLICE STATION",47349,Southern Electric,Council,Transport for London,TW110JQ,2024/01/05 02:25:42+00,20210817042915
519939.000000107,179092.999999545,67756,0109/0326,A,519939,179093,,18718,,BOLLO LANE,N/B,,Chiswick,"O/S CAR PARK OF LUL DISTRIBUTION SERVICES, N OF RAILWAY LEVEL CROSSING, S OF ENT TO LUL ACTON WORKS.",58343,Southern Electric,Transport for London,Transport for London,W3  8RP,2024/01/31 22:49:32+00,20210817042126
529491.000000082,186942.999999437,67757,0119/4442,A,529491,186943,,17564,,ST JOHN'S WAY,W/B,ISLINGTON,LONDON,"WALLACE WAY, 6 M E OF.  77 M W OF & OPP MIRANDA ROAD.  O/S BOWERMAN COURT (N19)",72703,UKPN London Hub,Transport for London,Transport for London,N19 3DA,2024/02/02 00:15:38+00,20210817042449
549192.000000174,184562.999999294,67758,0102/0220,A,549192,184563,,1647,,CHURCH ELM LANE,E/B,,DAGENHAM,"HEATHWAY, 123M E OF.  MANNING ROAD, 50M W OF.",74625,UKPN London Hub,Transport for London,Transport for London,RM109QS,2024/02/08 07:51:30+00,20210817042001
531936.000000161,182181.999999479,67759,0119/0075,A,531936,182182,,18040,,CLERKENWELL ROAD,E/B,ISLINGTON,LONDON,"34 M E OF BERRY STREET (C/L); 32.5 M E OF BERRY STREET (C/L); O/S  18-24.",54475,UKPN London Hub,Transport for London,Transport for London,EC1M5PQ,2024/02/15 20:27:28+00,20221220130210
538287.000000511,177502.999999325,67760,0111/8211,A,538287,177503,,9322,,GREENWICH HIGH ROAD,N/B,,GREENWICH,O/S 279 (PORTMAN BUILDING SOCIETY). N OF  &  OPP ROYAL HILL.S OF STRAIGHTSMOUTH,58219,UKPN London Hub,Council,Transport for London,SE108NB,2023/12/03 21:52:43+00,20210817042255
541079.00000028,181468.999999494,67761,0125/0408,A,541079,181469,,15580,,PRINCE REGENT LANE,S/B,,PLAISTOW,"BURLEY ROAD, 26M S OF; OTLEY ROAD, 32M N OF; O/S 349",59562,UKPN London Hub,Transport for London,Transport for London,E16 3JS,2024/01/17 03:16:10+00,20210817043026
529497.000000135,163877.999999458,67762,0129/1032,A,529497,163878,,2156,,STAFFORD ROAD,E/B,,Beddington,"O/S ST.ELPHEGES CATHOLIC CHURCH, E OF CLYDE ROAD",55518,UKPN London Hub,Transport for London,Transport for London,SM6 9AY,2024/01/18 01:46:26+00,20210817043104
525848.000000129,179724.999999534,67763,0120/F0140,A,525848,179725,,19250,,KENSINGTON ROAD,,,,,,,,,,,20220816151943
505583.000000123,184209.999999658,67764,0117/0110,A,505583,184210,,7250,,BAKERS ROAD,N/B,,Uxbridge,"33.25 M NORTH OF ENTRANCE TO UXBRIDGE LUL STATION, O/S REAR OF SUPERDRUG  STORE. OPP  HOTEL",58967,Southern Electric,Transport for London,Transport for London,UB8 1JZ,2024/01/24 20:29:56+00,20230503095819
538733.000000123,174228.999999364,67765,0123/1096,A,538733,174229,,17805,,HITHER GREEN LANE,N/B,Hither Green,Lewisham,"GEORGE LANE, 72 M S OF. OPP P/W 249/251.",77684,UKPN London Hub,Transport for London,Transport for London,SE136JF,2024/01/18 23:57:16+00,20210817042906
529078.000000097,170798.999999512,67766,0132/1013,A,529078,170799,,8137,,MITCHAM LANE,N/B,TOOTING,LONDON,"WELHAM ROAD, 105 M N OF.  125 M S OF MOYSER ROAD.  O/S No.210.",72866,UKPN London Hub,Transport for London,Transport for London,SW16 6NT,2024/01/10 21:20:07+00,20210817042922
530184.00000015,165755.999999268,67767,0129/1009,A,530184,165756,,16534,,ASDA ACCESS ROAD,E/B,,,"PRIVATE ROAD FOR ASDA STORE, BEDDINGTON. 55 M EAST OF BEDDINGTON LANE, 112M EAST OF C/L OF ENTRANCE/EXIT TO CAR PARK. 29M SOUTH OF STORE ENTRANCE.",55295,NO BOARD,Transport for London,Transport for London,CR0 4XS,2023/03/01 03:05:14+00,20230809091703
514328.000000054,191424.999999596,67768,0115/1430,A,514328,191425,,17428,,UXBRIDGE ROAD,E/B,,HARROW WEALD,OPP MEPHAM CRESCENT. 35.1 M E OF ROSS CLOSE,56773,UKPN London Hub,Transport for London,Transport for London,HA3 6SS,2024/02/01 02:27:03+00,20210817042356
532964.000000358,195150.999999496,67769,0110/3506,A,532964,195151,,18108,,VILLAGE ROAD,N/B,,ENFIELD,"O/S 93, 19M N OF AND OPP CONIFER GARDENS. 65M SOUTH OF TEYNHAM AVENUE",48192,UKPN London Hub,Transport for London,Transport for London,EN1 2BP,2024/02/15 01:19:24+00,20210817042257
529012.000000137,185117.999999509,67770,0107/0113,A,529012,185118,,18076,,KENTISH TOWN ROAD,S/B,KENTISH TOWN,CAMDEN,"O/S 272/274, AT KENTISH TOWN STATION, S OF LEIGHTON ROAD",75430,UKPN London Hub,Transport for London,Transport for London,NW5 2AA,2024/02/14 22:18:16+00,20210817042150
533064.000000187,190544.999999552,67771,0114/1008,A,533064,190545,,18126,,LORDSHIP LANE,W/B,BOROUGH OF HARINGEY,,O/S 217 118 M W OF MOUNT PLEASANT ROAD. 15.7 M W OF  &  OPP BENNINGTON ROAD,48951,UKPN London Hub,Transport for London,Transport for London,N17 6XF,2024/02/01 01:27:23+00,20210817042419
534863.000000137,183253.999999546,67772,0130/0291,A,534863,183254,,7006,,CAMBRIDGE HEATH ROAD,,,,,,,,,,,20210817042043
530130.000000149,165516.999999272,67773,0129/7204,A,530130,165517,,16368,,BEDDINGTON LANE,N/B,Beddington North,Beddington,"HARRINGTON CLOSE, 66 M S OF. DERRY ROAD, 108 M N OF.",71442,UKPN London Hub,Transport for London,Transport for London,CR0 4TJ,2024/01/18 03:08:51+00,20210817042838
530744.000000184,169297.999999485,67774,0108/0213,A,530744,169298,,13470,,LONDON ROAD,N/B,,Croydon,"O/S 1353 (""DOMINO'S""), N OF NORTHBOROUGH ROAD",49526,UKPN London Hub,Transport for London,Transport for London,SW164BE,2023/03/01 02:25:02+00,20210817042138
546705.000000229,176861.999999269,67775,0104/8818,A,546705,176862,,2656,,UPPER WICKHAM LANE,N/B,,WELLING,OPP 299/301 (FLATS) N OF WICKHAM STREET,52280,UKPN London Hub,Transport for London,Transport for London,DA16 3DG,2024/02/14 19:35:56+00,20210817042044
